type,country,year,month,day,cal_case,cal_death,suspect,new_case,new_death
ZIKA,Brazil,2016,11,17,109596,6,200465,,
ZIKA,Brazil,2016,12,15,109596,9,210897,,
ZIKA,Brazil,2017,1,18,128266,9,214193,,
ZIKA,Brazil,2017,2,16,130840,11,215319,,
ZIKA,Brazil,2017,3,16,130976,11,216972,,
ZIKA,Brazil,2017,4,13,132021,11,220213,,
ZIKA,Brazil,2017,5,18,133527,11,223230,,
ZIKA,Brazil,2017,6,15,134057,11,224670,,
ZIKA,Brazil,2017,7,13,134057,11,224670,,
ZIKA,Brazil,2017,8,17,135740,11,228931,,
ZIKA,Brazil,2017,9,14,137288,11,231725,,
