type,country,year,month,day,cal_case,cal_death,suspect,new_case,new_death
ZIKA,VenezuelaBolivarianRepublicof,2016,11,17,2244,0,58758,,
ZIKA,VenezuelaBolivarianRepublicof,2016,12,15,2380,0,59235,,
ZIKA,VenezuelaBolivarianRepublicof,2017,1,18,2380,0,59445,,
ZIKA,VenezuelaBolivarianRepublicof,2017,2,16,2413,0,59685,,
ZIKA,VenezuelaBolivarianRepublicof,2017,3,16,2413,0,59787,,
ZIKA,VenezuelaBolivarianRepublicof,2017,4,13,2413,0,59903,,
ZIKA,VenezuelaBolivarianRepublicof,2017,5,18,2413,0,59965,,
ZIKA,VenezuelaBolivarianRepublicof,2017,6,15,2413,0,59965,,
ZIKA,VenezuelaBolivarianRepublicof,2017,7,13,2413,0,59965,,
ZIKA,VenezuelaBolivarianRepublicof,2017,8,17,2413,0,59965,,
ZIKA,VenezuelaBolivarianRepublicof,2017,9,14,2413,0,59965,,
