Date,Cumulative number of suspected Ebola cases
9/25/2015 Total,10504
9/28/2015 Total,10549
9/29/2015 Total,10564
9/30/2015 Total,10564
10/1/2015 Total,10584
10/2/2015 Total,10588
10/5/2015 Total,10593
10/6/2015 Total,10597
10/7/2015 Total,10597
10/8/2015 Total,10603
10/9/2015 Total,10605
10/13/2015 Total,10630
10/15/2015 Total,10641
10/16/2015 Total,10642
10/20/2015 Total,10649
10/22/2015 Total,10677
10/23/2015 Total,10684
10/26/2015 Total,10698
10/27/2015 Total,10709
10/29/2015 Total,10716
10/30/2015 Total,10717
11/3/2015 Total,10740
11/5/2015 Total,10750
11/6/2015 Total,10755
11/10/2015 Total,10768
11/11/2015 Total,10768
11/12/2015 Total,10768
11/16/2015 Total,10768
11/17/2015 Total,10767
11/20/2015 Total,10767
11/24/2015 Total,10767
11/26/2015 Total,10767
12/1/2015 Total,10767
12/2/2015 Total,10767
12/3/2015 Total,10768
12/9/2015 Total,10767
12/10/2015 Total,10767
12/11/2015 Total,10767
12/15/2015 Total,10770
12/16/2015 Total,10770
12/17/2015 Total,10768
12/22/2015 Total,10767
12/23/2015 Total,10767
12/29/2015 Total,10767
3/23/2016 Total,10767
Grand Total,2115520
