type,country,year,month,day,cal_case,cal_death,suspect,new_case,new_death
EBOLA,Liberia,2014,8,29,322,694,382,,
EBOLA,Liberia,2014,9,24,890,1677,921,,
EBOLA,Liberia,2014,10,22,965,2705,1594,,
EBOLA,Liberia,2014,11,21,2669,2963,2663,,
EBOLA,Liberia,2014,12,22,3085,3376,2991,,
EBOLA,Liberia,2015,1,23,3136,3636,3534,,
EBOLA,Liberia,2015,2,23,3153,4032,4188,,
EBOLA,Liberia,2015,3,24,3151,4301,4572,,
EBOLA,Liberia,2015,4,22,3151,4573,5182,,
EBOLA,Liberia,2015,5,25,3151,4806,5636,,
EBOLA,Liberia,2015,6,23,3151,4806,5636,,
EBOLA,Liberia,2015,7,24,3151,4806,5636,,
EBOLA,Liberia,2015,8,25,3151,4806,5636,,
EBOLA,Liberia,2015,9,22,3151,4806,5636,,
EBOLA,Liberia,2015,10,20,3151,4806,5636,,
EBOLA,Liberia,2015,11,24,3151,4806,5636,,
