type,country,year,month,day,cal_case,cal_death,suspect,new_case,new_death
EBOLA,Guinea,2014,8,29,482,287,25,,
EBOLA,Guinea,2014,9,24,832,468,28,,
EBOLA,Guinea,2014,10,22,1289,710,58,,
EBOLA,Guinea,2014,11,21,1745,998,86,,
EBOLA,Guinea,2014,12,22,2284,1344,50,,
EBOLA,Guinea,2015,1,23,2545,1561,9,,
EBOLA,Guinea,2015,2,23,2758,1699,10,,
EBOLA,Guinea,2015,3,24,3011,1865,20,,
EBOLA,Guinea,2015,4,22,3136,1943,14,,
EBOLA,Guinea,2015,5,25,3208,1999,13,,
EBOLA,Guinea,2015,6,23,3257,2030,18,,
EBOLA,Guinea,2015,7,24,3325,2066,11,,
EBOLA,Guinea,2015,8,25,3335,2075,5,,
EBOLA,Guinea,2015,9,22,3340,2079,7,,
EBOLA,Guinea,2015,10,20,3347,2082,3,,
EBOLA,Guinea,2015,11,24,3351,2083,0,,
