type,country,year,month,day,cal_case,cal_death,suspect,new_case,new_death
ZIKA,Ecuador,2016,11,17,806,0,2722,,
ZIKA,Ecuador,2016,12,15,839,0,2693,,
ZIKA,Ecuador,2017,1,18,879,0,2706,,
ZIKA,Ecuador,2017,2,16,929,0,2785,,
ZIKA,Ecuador,2017,3,16,1024,0,2797,,
ZIKA,Ecuador,2017,4,13,1194,0,3285,,
ZIKA,Ecuador,2017,5,18,1330,0,3972,,
ZIKA,Ecuador,2017,6,15,1759,0,3842,,
ZIKA,Ecuador,2017,7,13,1848,0,3842,,
ZIKA,Ecuador,2017,8,17,2214,0,3842,,
ZIKA,Ecuador,2017,9,14,3058,0,3753,,
