type,country,year,month,day,cal_case,cal_death,suspect,new_case,new_death
H1N1,Chile,2009,5,18,1,0,,1,0
H1N1,Chile,2009,5,25,44,0,,20,0
H1N1,Chile,2009,6,1,250,0,,85,0
H1N1,Chile,2009,6,8,411,1,,42,0
H1N1,Chile,2009,6,15,1694,2,,0,0
H1N1,Chile,2009,6,22,4315,4,,1190,2
H1N1,Chile,2009,6,29,5186,7,,0,0
H1N1,Chile,2009,7,6,7376,14,,0,0
