type,country,year,month,day,cal_case,cal_death,suspect,new_case,new_death
ZIKA,El Salvador,2016,11,17,51,0,11333,,
ZIKA,El Salvador,2016,12,15,51,0,11379,,
ZIKA,El Salvador,2017,1,18,51,0,11441,,
ZIKA,El Salvador,2017,2,16,51,0,11489,,
ZIKA,El Salvador,2017,3,16,51,0,11535,,
ZIKA,El Salvador,2017,4,13,51,0,11471,,
ZIKA,El Salvador,2017,5,18,51,0,11511,,
ZIKA,El Salvador,2017,6,15,51,0,11531,,
ZIKA,El Salvador,2017,7,13,51,0,11579,,
ZIKA,El Salvador,2017,8,17,51,0,11621,,
ZIKA,El Salvador,2017,9,14,51,0,11667,,
