type,continent,year,month,day,cal_case,cal_death,suspect,new_case,new_death
0,0,0,0,0,0,0,0,0,0
H1N1,South America,2009,5,18,11,0,0,1,0
H1N1,South America,2009,5,25,80,0,0,42,0
H1N1,South America,2009,6,1,415,0,0,170,0
H1N1,South America,2009,6,8,726,1,0,120,0
H1N1,South America,2009,6,15,2218,2,0,14,0
H1N1,South America,2009,6,22,5677,11,0,1361,5
H1N1,South America,2009,6,29,7681,30,0,258,2
H1N1,South America,2009,7,6,11709,79,0,1276,37
H1N1,South America,2009,7,27,43983,354,,,
H1N1,South America,2009,8,4,49121,504,,,
H1N1,South America,2009,8,12,51453,637,,,
H1N1,South America,2009,8,21,52941,790,,,
H1N1,South America,2009,8,28,55057,938,,,
H1N1,South America,2009,9,4,58023,1117,,,
H1N1,South America,2009,9,11,60327,1234,,,
H1N1,South America,2009,9,18,62063,1313,,,
H1N1,South America,2009,9,25,65224,1474,,,
H1N1,South America,2009,10,2,68574,1510,,,
H1N1,South America,2009,10,9,73008,1646,,,
H1N1,South America,2009,10,16,76849,1703,,,
H1N1,South America,2009,10,23,80065,1770,,,
H1N1,South America,2009,10,30,87283,2088,,,
H1N1,South America,2009,11,6,92534,2200,,,
H1N1,South America,2009,11,13,95383,2256,,,
H1N1,South America,2009,11,20,95383,2403,,,
H1N1,South America,2009,11,27,95383,2680,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
